cod_enc,city,school,cod_inst,gender,ida_time,ida_time_g1,ida_bythemself,vuelta_bythemself,parent_studies,family_vehicle,household_income,walk,mode_ida,mode_vuelta,mode_ida_g1,mode_vuelta_g1,mode_ida_g2,mode_vuelta_g2,mode_active,motiv_modo_distancia,motiv_modo_seguridad_vial,motiv_modo_seguridad_personal,motiv_modo_relaciones_sociales,motiv_modo_costo,motiv_modo_salud,motiv_modo_conveniencia,motiv_modo_na,preocupa_distancia,preocupa_trafico,preocupa_velocidad,preocupa_tiempo,preocupa_seguridad_cruces,preocupa_falta_policias,preocupa_violencia,preocupa_frio_calor,preocupa_lluvia,preocupa_peso,preocupa_falta_otros_adultos,preocupa_aceras,preocupa_falta_otros_ninos,preocupa_aburrido_caminar,preocupa_falta_otros_adultos_bici,preocupa_falta_ciclovias,preocupa_falta_lugares_bici,preocupa_falta_otrosninos_bici,preocupa_aburrido_bici,bnfam_obesity,bnfam_cvrisk,bnfam_traffic,bnfam_academic,bnfam4l_obesity,bnfam4l_cvrisk,bnfam4l_traffic,bnfam4l_academic,improve_menor_distancia,improve_menor_trafico,improve_seguridad_intersecciones,improve_menor_crimen,improve_mas_gente,improve_veredas,improve_ciclovia,improve_lugares_bici,improve_masninos_bici,dens_cat,emaps_cat
NS_046,Cuenca,Nicolás Sojos,01H00892,Male,16-30,more_15,No,No,No,No,low,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,1,0,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Somehow agree,Totally agree,Totally agree,Totally agree,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Low,Low
NS_045,Cuenca,Nicolás Sojos,01H00892,Female,6-15,less_15,No,No,No,Yes,low,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,0,0,0,0,0,1,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Low,Low
NS_044,Cuenca,Nicolás Sojos,01H00892,Female,0-5,less_15,No,No,No,Yes,NA,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,1,0,0,0,0,0,0,A lot,A little,Not at all,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,A little,Not at all,Not at all,A little,A little,Not at all,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Low,Low
NS_043,Cuenca,Nicolás Sojos,01H00892,Female,6-15,less_15,No,No,Yes,Yes,low,Yes,Other,Other,Other,Other,Other,Other,No,0,0,1,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,Some,Some,Some,Some,A lot,Some,Some,A lot,A lot,Some,Some,A lot,A lot,Some,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Somehow agree,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Low,Low
LC_039,Cuenca,Luis Cordero,01H00481,Male,6-15,less_15,Yes,Yes,Yes,No,mid,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,1,0,0,0,0,0,A lot,A little,A lot,A lot,A lot,A lot,A lot,A little,Some,A lot,A lot,A lot,A lot,A little,Some,A lot,A lot,A lot,A little,Agree,Agree,Agree,Disagree,Somehow agree,Totally agree,Totally agree,Somehow disagree,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,High
LC_040,Cuenca,Luis Cordero,01H00481,Female,16-30,more_15,No,Yes,Yes,Yes,mid,Yes,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,1,0,0,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Disagree,Somehow agree,Somehow agree,Somehow agree,Somehow disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,High
I-DLJ-011,Ibarra,Velasco Ibarra,10H00090,Male,16-30,more_15,Yes,Yes,Yes,Yes,mid,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,0,0,1,0,0,0,A little,A little,A lot,A lot,A lot,A lot,A lot,A little,A lot,A lot,A lot,A lot,A lot,Some,Not at all,A lot,A lot,Some,Not at all,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,Low
NS_042,Cuenca,Nicolás Sojos,01H00892,Male,16-30,more_15,Yes,Yes,Yes,No,low,Yes,Walk,Walk,Active,Active,Active,Active,Yes,0,0,0,0,1,1,0,0,A lot,A lot,A lot,Some,A lot,A lot,A lot,Some,A lot,A lot,Some,A little,A little,A little,A lot,A lot,NA,NA,NA,Agree,Agree,NA,Agree,Totally agree,Totally agree,NA,Totally agree,No,NA,Yes,NA,Yes,NA,NA,No,No,Low,Low
NS_041,Cuenca,Nicolás Sojos,01H00892,Male,0-5,less_15,No,Yes,No,No,mid,Yes,Walk,Walk,Active,Active,Active,Active,Yes,1,0,0,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Low,Low
LC_041,Cuenca,Luis Cordero,01H00481,Female,16-30,more_15,No,No,Yes,No,mid,No,School bus,School bus,School bus,School bus,Motorised,Motorised,No,0,0,1,0,0,0,0,0,A lot,A lot,A lot,Some,A lot,A lot,A lot,Some,Some,A lot,Some,Some,Some,Some,NA,NA,NA,NA,NA,Agree,Agree,Agree,Disagree,Somehow agree,Somehow agree,Somehow agree,Somehow disagree,No,No,Yes,No,No,No,No,No,No,High,High
