cod_enc,city,school,cod_inst,gender,ida_time,ida_time_g1,ida_bythemself,vuelta_bythemself,parent_studies,family_vehicle,household_income,walk,mode_ida,mode_vuelta,mode_ida_g1,mode_vuelta_g1,mode_ida_g2,mode_vuelta_g2,mode_active,motiv_modo_distancia,motiv_modo_seguridad_vial,motiv_modo_seguridad_personal,motiv_modo_relaciones_sociales,motiv_modo_costo,motiv_modo_salud,motiv_modo_conveniencia,motiv_modo_na,preocupa_distancia,preocupa_trafico,preocupa_velocidad,preocupa_tiempo,preocupa_seguridad_cruces,preocupa_falta_policias,preocupa_violencia,preocupa_frio_calor,preocupa_lluvia,preocupa_peso,preocupa_falta_otros_adultos,preocupa_aceras,preocupa_falta_otros_ninos,preocupa_aburrido_caminar,preocupa_falta_otros_adultos_bici,preocupa_falta_ciclovias,preocupa_falta_lugares_bici,preocupa_falta_otrosninos_bici,preocupa_aburrido_bici,bnfam_obesity,bnfam_cvrisk,bnfam_traffic,bnfam_academic,bnfam4l_obesity,bnfam4l_cvrisk,bnfam4l_traffic,bnfam4l_academic,improve_menor_distancia,improve_menor_trafico,improve_seguridad_intersecciones,improve_menor_crimen,improve_mas_gente,improve_veredas,improve_ciclovia,improve_lugares_bici,improve_masninos_bici,dens_cat,emaps_cat
I-ABP-002,Ibarra,Velasco Ibarra,10H00090,Female,>60,more_15,No,No,No,No,NA,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,A lot,NA,NA,A lot,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,High,Low
NS_032,Cuenca,Nicolás Sojos,01H00892,Male,0-5,less_15,Yes,Yes,Yes,No,mid,Yes,Walk,Walk,Active,Active,Active,Active,Yes,1,0,0,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A little,A lot,A little,Some,Some,A lot,A lot,A lot,Some,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Somehow agree,Somehow agree,Somehow agree,Somehow agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Low,Low
NS_031,Cuenca,Nicolás Sojos,01H00892,Female,0-5,less_15,No,No,Yes,Yes,mid,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,1,0,0,0,0,0,0,0,Some,A lot,A lot,A lot,NA,Some,A lot,A little,A lot,A lot,Some,Some,Some,Some,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Low,Low
NS_030,Cuenca,Nicolás Sojos,01H00892,Female,6-15,less_15,No,No,Yes,Yes,high,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,1,1,0,0,1,0,1,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A little,A little,A lot,A lot,A lot,A lot,Some,A lot,A lot,A lot,Some,Some,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,No,No,No,No,No,No,No,No,No,Low,Low
NS_029,Cuenca,Nicolás Sojos,01H00892,Female,6-15,less_15,No,No,Yes,Yes,low,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,1,1,1,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Not at all,A lot,A little,Not at all,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,NA,Totally agree,Totally agree,Totally agree,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Low,Low
I-ABP-003,Ibarra,Velasco Ibarra,10H00090,Male,16-30,more_15,Yes,Yes,No,No,NA,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,0,0,0,0,1,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A little,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A little,Disagree,Agree,Agree,Agree,Somehow disagree,Somehow agree,Somehow agree,Somehow agree,No,No,No,No,No,No,No,No,No,High,Low
NS_027,Cuenca,Nicolás Sojos,01H00892,NA,16-30,more_15,No,No,Yes,Yes,mid,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,1,0,0,0,0,0,0,A lot,Some,A lot,A lot,A lot,A lot,A lot,Some,Some,Some,A lot,A lot,A lot,Some,A lot,A lot,A lot,Some,Some,Agree,Agree,Agree,Disagree,Totally agree,Totally agree,Totally agree,Somehow disagree,No,No,No,No,No,No,No,No,No,Low,Low
NS_026,Cuenca,Nicolás Sojos,01H00892,NA,16-30,more_15,No,No,Yes,No,NA,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,1,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Somehow agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Low,Low
NS_025,Cuenca,Nicolás Sojos,01H00892,Male,6-15,less_15,Yes,Yes,No,NA,NA,Yes,Walk,Walk,Active,Active,Active,Active,Yes,0,0,0,0,0,0,0,1,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A little,A little,NA,A lot,A lot,A little,A little,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Low,Low
NS_024,Cuenca,Nicolás Sojos,01H00892,Female,6-15,less_15,Yes,Yes,Yes,No,low,Yes,Walk,Walk,Active,Active,Active,Active,Yes,1,0,0,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A little,Some,A lot,A lot,A lot,A lot,Not at all,A lot,A lot,A lot,Some,Not at all,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Somehow agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Low,Low
NS_023,Cuenca,Nicolás Sojos,01H00892,Female,6-15,less_15,No,No,Yes,No,mid,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,1,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,Some,Some,A lot,A lot,A lot,Not at all,A lot,A lot,A lot,A lot,Not at all,Disagree,Disagree,Disagree,Disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Low,Low
NS_022,Cuenca,Nicolás Sojos,01H00892,Male,31-60,more_15,Yes,Yes,No,No,mid,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,1,0,0,0,0,0,A lot,A little,Some,A lot,A little,Not at all,A lot,A little,Not at all,A lot,Some,A lot,A little,Not at all,A lot,A lot,A lot,A lot,Not at all,Agree,Agree,Agree,Disagree,Totally agree,Totally agree,Totally agree,Totally disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Low,Low
NS_021,Cuenca,Nicolás Sojos,01H00892,Female,16-30,more_15,No,Yes,Yes,No,mid,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,0,0,0,0,1,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,Some,A lot,Some,A lot,A lot,A little,A lot,A lot,A lot,A lot,Not at all,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Low,Low
I-ABP-004,Ibarra,Velasco Ibarra,10H00090,Male,>60,more_15,No,Yes,Yes,Yes,mid,Yes,Motorbike,Motorbike,Private vehicle,Private vehicle,Motorised,Motorised,No,1,0,0,0,0,0,0,0,A lot,A lot,A lot,Some,A lot,A lot,A lot,Some,Some,A lot,Some,A little,Some,Some,Some,A little,A little,Some,A little,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,No,No,No,No,No,Yes,No,Yes,Yes,High,Low
I-ABP-005,Ibarra,Velasco Ibarra,10H00090,Male,16-30,more_15,No,No,No,No,NA,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,1,0,0,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,Some,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,A lot,A lot,Agree,Agree,NA,NA,Totally agree,Totally agree,NA,NA,No,No,No,No,No,No,No,No,No,High,Low
I-ABP-006,Ibarra,Velasco Ibarra,10H00090,Female,16-30,more_15,Yes,Yes,Yes,No,mid,No,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,1,0,1,0,1,0,1,0,NA,A lot,A lot,A lot,A lot,A lot,A lot,NA,Some,A lot,A lot,A lot,A lot,Some,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Somehow agree,No,No,Yes,Yes,No,Yes,Yes,Yes,No,High,Low
I-ABP-007,Ibarra,Velasco Ibarra,10H00090,Female,0-5,less_15,Yes,Yes,Yes,Yes,low,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,0,0,0,0,0,1,A lot,NA,NA,NA,NA,NA,NA,A little,NA,A little,NA,A lot,NA,Some,NA,A little,NA,NA,Some,NA,Agree,Disagree,Disagree,NA,Somehow agree,Somehow disagree,Totally disagree,NA,Yes,Yes,Yes,NA,Yes,Yes,No,No,High,Low
I-CGR-001,Ibarra,Velasco Ibarra,10H00090,Female,6-15,less_15,No,No,NA,NA,NA,Yes,Walk,Walk,Active,Active,Active,Active,Yes,0,0,1,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,High,Low
LC_049,Cuenca,Luis Cordero,01H00481,NA,6-15,less_15,Yes,Yes,Yes,No,mid,No,School bus,School bus,School bus,School bus,Motorised,Motorised,No,0,0,1,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Disagree,Disagree,Disagree,Disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,High
I-ABP-008,Ibarra,Velasco Ibarra,10H00090,Male,6-15,less_15,No,No,No,No,low,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,1,0,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Disagree,Agree,Agree,Disagree,Somehow disagree,Somehow agree,Somehow agree,Somehow disagree,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,High,Low
LC_050,Cuenca,Luis Cordero,01H00481,NA,6-15,less_15,No,No,Yes,No,low,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,0,0,0,0,1,0,A little,Some,Some,A lot,A lot,A lot,A lot,A little,Some,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,High
I-CGR-002,Ibarra,Velasco Ibarra,10H00090,Male,6-15,less_15,No,Yes,No,No,low,Yes,Walk,Walk,Active,Active,Active,Active,Yes,1,0,0,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,A little,A little,A lot,A lot,A little,A little,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Somehow agree,Somehow agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,Low
I-ABP-009,Ibarra,Velasco Ibarra,10H00090,Female,16-30,more_15,Yes,Yes,No,Yes,mid,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,0,0,0,0,1,0,A lot,Some,A lot,A lot,A lot,A lot,A lot,Some,Some,A lot,Some,Some,A lot,Some,Some,A lot,Some,Some,Some,Agree,Agree,Agree,Disagree,Somehow agree,Somehow agree,Somehow agree,Totally disagree,Yes,No,No,No,No,No,No,No,No,High,Low
LC_051,Cuenca,Luis Cordero,01H00481,Female,16-30,more_15,No,No,Yes,Yes,mid,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,1,0,0,0,0,0,Some,Some,Some,NA,A lot,A lot,A lot,A lot,A lot,A lot,Some,A lot,A lot,A lot,NA,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,High
I-ABP-010,Ibarra,Velasco Ibarra,10H00090,Male,6-15,less_15,Yes,Yes,Yes,No,mid,No,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,1,0,0,0,0,0,1,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A little,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Disagree,Disagree,Disagree,Disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,Low
I-CGR-003,Ibarra,Velasco Ibarra,10H00090,Female,31-60,more_15,Yes,Yes,Yes,NA,NA,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,1,0,0,0,0,0,Some,Some,Some,A lot,A lot,A lot,A lot,A lot,A lot,Some,Some,Some,Some,A little,NA,Some,Some,NA,NA,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,No,Yes,Yes,NA,Yes,Yes,No,No,High,Low
LC_052,Cuenca,Luis Cordero,01H00481,Female,31-60,more_15,Yes,Yes,Yes,Yes,mid,No,School bus,School bus,School bus,School bus,Motorised,Motorised,No,0,0,0,0,0,0,0,1,A little,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,High
I-ABP-011,Ibarra,Velasco Ibarra,10H00090,Female,6-15,less_15,Yes,No,No,No,low,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,1,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,NA,NA,NA,NA,NA,Agree,Agree,Disagree,Disagree,Somehow agree,Somehow agree,Somehow disagree,Somehow disagree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,Low
I-CGR-003,Ibarra,Velasco Ibarra,10H00090,Male,31-60,more_15,No,No,NA,NA,NA,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,1,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,A lot,A lot,NA,NA,A lot,Some,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,High,Low
I-ABP-012,Ibarra,Velasco Ibarra,10H00090,Male,6-15,less_15,No,No,No,No,high,Yes,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,0,0,0,0,0,1,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,Some,A lot,A lot,A lot,Some,Some,Some,Some,Some,Some,Some,Agree,Disagree,Agree,Agree,Totally agree,Totally disagree,Totally agree,Somehow agree,No,No,No,No,No,No,No,No,No,High,Low
LC_053,Cuenca,Luis Cordero,01H00481,Female,6-15,less_15,No,Yes,No,No,low,Yes,Bicycle,Bicycle,Active,Active,Active,Active,Yes,0,0,0,0,1,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Somehow agree,Somehow agree,Somehow agree,Somehow agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,High
I-CGR-004,Ibarra,Velasco Ibarra,10H00090,Male,6-15,less_15,Yes,Yes,Yes,No,NA,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,1,0,0,0,1,0,1,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,Some,A lot,A lot,A lot,A lot,Some,A lot,A lot,A lot,Some,Some,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,High,Low
I-ABP-013,Ibarra,Velasco Ibarra,10H00090,Female,16-30,more_15,No,No,Yes,Yes,NA,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,0,0,0,0,1,0,A lot,A lot,A lot,A lot,NA,Not at all,A lot,Not at all,A lot,NA,A little,Some,Some,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,High,Low
I-CGR-006,Ibarra,Velasco Ibarra,10H00090,Male,16-30,more_15,No,No,Yes,Yes,NA,Yes,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,1,0,0,0,1,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,NA,A lot,A lot,A lot,NA,NA,NA,NA,NA,A lot,NA,NA,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,NA,NA,Yes,Yes,NA,NA,NA,Yes,Yes,High,Low
I-ABP-014,Ibarra,Velasco Ibarra,10H00090,Male,16-30,more_15,Yes,Yes,No,No,low,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,1,0,0,0,0,0,0,0,NA,NA,A lot,NA,NA,A lot,NA,NA,NA,A lot,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,Low
I-ABP-015,Ibarra,Velasco Ibarra,10H00090,Male,16-30,more_15,No,No,Yes,Yes,mid,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,1,0,1,0,0,0,0,0,A lot,A lot,A lot,A little,A lot,A lot,A lot,Some,Some,Some,Some,A lot,A lot,Not at all,Some,Some,Some,Some,A lot,Disagree,Disagree,Disagree,Agree,Totally disagree,Totally disagree,Totally disagree,Somehow agree,No,No,Yes,Yes,No,Yes,Yes,No,No,High,Low
LC_054,Cuenca,Luis Cordero,01H00481,Female,6-15,less_15,No,No,Yes,Yes,mid,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,1,0,0,0,0,0,A lot,A little,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A little,A little,A little,A little,A little,Disagree,Disagree,Disagree,Disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,No,No,No,No,No,No,No,No,No,High,High
LC_055,Cuenca,Luis Cordero,01H00481,Female,0-5,less_15,Yes,Yes,Yes,No,low,Yes,Walk,Walk,Active,Active,Active,Active,Yes,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High
LC_056,Cuenca,Luis Cordero,01H00481,Female,6-15,less_15,No,Yes,No,Yes,NA,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,0,0,0,0,0,1,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Somehow agree,Somehow agree,No,No,No,Yes,Yes,Yes,Yes,No,Yes,High,High
LC_057,Cuenca,Luis Cordero,01H00481,Male,6-15,less_15,No,No,Yes,No,low,Yes,Walk,Walk,Active,Active,Active,Active,Yes,1,0,1,0,0,0,0,0,Not at all,A little,Some,A lot,Some,A lot,A lot,Some,A lot,A lot,Some,Some,A lot,Not at all,Some,A little,A lot,Some,Not at all,Agree,Agree,Agree,Agree,Somehow agree,Totally agree,Somehow agree,Somehow agree,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,High,High
I-ABP-016,Ibarra,Velasco Ibarra,10H00090,NA,16-30,more_15,Yes,Yes,Yes,Yes,high,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,1,0,1,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,A lot,A lot,A lot,A lot,Some,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,Low
I-CGR-007,Ibarra,Velasco Ibarra,10H00090,Male,6-15,less_15,No,No,NA,NA,NA,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,1,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,Some,A lot,A lot,A lot,A lot,A lot,Not at all,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,No,No,No,No,No,No,No,No,No,High,Low
I-CGR-008,Ibarra,Velasco Ibarra,10H00090,Male,16-30,more_15,No,No,NA,NA,NA,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,1,0,0,0,0,0,0,0,A little,Some,A lot,A lot,A lot,A lot,A lot,A little,Some,A lot,A lot,A lot,Some,A lot,A little,A little,A lot,A little,Some,Agree,Agree,Agree,Agree,Somehow agree,Totally agree,Somehow agree,Totally agree,No,No,No,Yes,Yes,Yes,Yes,Yes,No,High,Low
LC_058,Cuenca,Luis Cordero,01H00481,Male,6-15,less_15,No,No,Yes,Yes,mid,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,1,0,0,0,0,0,0,0,A little,A lot,A lot,A lot,A lot,A lot,A lot,Some,Some,Some,A little,A little,A little,Not at all,Some,A lot,A lot,Some,Some,Agree,Disagree,Agree,Agree,Totally agree,Somehow disagree,Somehow agree,Somehow agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,High
I-ABP-017,Ibarra,Velasco Ibarra,10H00090,NA,6-15,less_15,No,Yes,Yes,Yes,NA,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,0,0,0,0,1,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,NA,A lot,A lot,A lot,A lot,NA,NA,A lot,A lot,A lot,A lot,NA,Agree,Agree,Agree,Agree,Somehow agree,Somehow agree,Totally agree,Somehow agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,Low
LC_059,Cuenca,Luis Cordero,01H00481,Male,16-30,more_15,No,No,Yes,No,mid,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,1,0,1,0,0,0,A lot,A lot,A lot,A lot,A lot,Some,Some,A lot,A lot,A lot,Some,A lot,Some,A little,Some,A lot,A lot,Some,A little,Agree,Agree,Agree,Disagree,Somehow agree,Totally agree,Totally agree,Somehow disagree,No,No,No,No,No,No,No,No,No,High,High
I-ABP-018,Ibarra,Velasco Ibarra,10H00090,Male,16-30,more_15,No,No,Yes,No,NA,No,Private car,Private car,Private vehicle,Private vehicle,Motorised,Motorised,No,0,0,0,0,0,0,0,1,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,NA,A lot,A lot,A lot,A lot,A lot,Disagree,Agree,Agree,Agree,Somehow disagree,Somehow agree,Somehow agree,Somehow agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,Low
LC_060,Cuenca,Luis Cordero,01H00481,Female,6-15,less_15,No,No,Yes,No,low,No,School bus,School bus,School bus,School bus,Motorised,Motorised,No,0,0,1,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,Agree,Agree,Agree,Disagree,Somehow agree,Totally agree,Somehow agree,Somehow disagree,No,No,No,No,No,No,No,Yes,No,High,High
I-CGR-009,Ibarra,Velasco Ibarra,10H00090,NA,6-15,less_15,Yes,Yes,No,No,low,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,0,0,0,0,0,1,NA,A lot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A lot,NA,Some,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Totally agree,NA,NA,Yes,NA,NA,NA,NA,NA,NA,High,Low
I-CGR-010,Ibarra,Velasco Ibarra,10H00090,Male,16-30,more_15,Yes,Yes,No,No,NA,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,1,0,0,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,Some,A lot,A lot,A lot,A lot,Some,A lot,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Somehow agree,Somehow agree,No,No,No,No,No,No,No,No,No,High,Low
I-ABP-019,Ibarra,Velasco Ibarra,10H00090,Male,31-60,more_15,No,Yes,Yes,No,low,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,1,0,0,0,0,0,1,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,A lot,A lot,A lot,NA,NA,NA,NA,NA,Agree,Agree,Agree,Agree,Somehow agree,Somehow agree,Somehow agree,Somehow agree,Yes,Yes,No,No,NA,Yes,NA,NA,NA,High,Low
I-CGR-011,Ibarra,Velasco Ibarra,10H00090,Female,16-30,more_15,Yes,Yes,No,No,low,No,School bus,School bus,School bus,School bus,Motorised,Motorised,No,0,0,0,0,0,0,1,0,A little,A little,A lot,A lot,A lot,A lot,A lot,Some,Some,A lot,A lot,A lot,A lot,A lot,Some,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Disagree,Somehow agree,Somehow agree,Somehow agree,Somehow disagree,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,High,Low
I-ABP-020,Ibarra,Velasco Ibarra,10H00090,Male,6-15,less_15,No,No,Yes,No,low,Yes,Public bus,Public bus,Public bus,Public bus,Motorised,Motorised,No,0,0,1,0,0,0,0,0,A lot,A lot,A lot,A lot,A lot,A lot,A lot,Some,Some,A lot,Some,A lot,A lot,A little,Some,A lot,A lot,Some,A little,Agree,Agree,Agree,Agree,Totally agree,Totally agree,Totally agree,Somehow agree,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High,Low
